step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
40,43.921,-9.640,10.507,7.119,-0.017,0.020,0.280,0.960,-0.581,0.035,-0.038,13.590,-0.017,0.020,0.280,0.960,0.001,-0.013,-0.005,0.501,0.196,-9.809
41,44.657,-9.283,10.758,7.119,-0.016,0.017,0.278,0.960,-0.602,0.023,-0.022,13.638,-0.016,0.017,0.278,0.960,0.001,-0.000,-0.006,0.422,0.198,-9.810
42,45.425,-8.896,11.020,7.114,-0.017,0.020,0.276,0.961,-0.613,0.017,-0.018,12.538,-0.017,0.020,0.276,0.961,0.001,0.010,-0.005,0.475,0.199,-9.801
43,46.161,-8.517,11.269,7.107,-0.017,0.021,0.275,0.961,-0.621,0.012,-0.022,9.142,-0.017,0.021,0.275,0.961,0.000,-0.003,-0.004,0.492,0.200,-9.796
44,47.297,-7.919,11.652,7.098,-0.016,0.019,0.273,0.962,-0.629,0.007,-0.022,9.580,-0.016,0.019,0.273,0.962,0.000,0.002,-0.003,0.455,0.201,-9.794
45,48.433,-7.313,12.032,7.093,-0.017,0.021,0.272,0.962,-0.632,0.005,-0.029,9.842,-0.017,0.021,0.272,0.962,0.000,0.000,-0.003,0.482,0.201,-9.793
46,49.603,-6.684,12.423,7.095,-0.016,0.020,0.270,0.962,-0.634,0.003,-0.034,10.283,-0.016,0.020,0.270,0.962,0.000,-0.000,-0.002,0.468,0.201,-9.793
47,50.372,-6.270,12.678,7.099,-0.017,0.022,0.269,0.963,-0.634,0.003,-0.038,10.627,-0.017,0.022,0.269,0.963,0.000,0.014,-0.001,0.497,0.201,-9.786
48,51.107,-5.874,12.920,7.105,-0.018,0.025,0.268,0.963,-0.632,0.002,-0.043,11.122,-0.018,0.025,0.268,0.963,0.000,0.002,-0.004,0.573,0.202,-9.795
49,51.911,-5.441,13.184,7.108,-0.017,0.023,0.267,0.963,-0.632,0.003,-0.038,11.586,-0.017,0.023,0.267,0.963,0.000,-0.008,-0.004,0.529,0.202,-9.798
